date,SE1,SE2,SE3,SE4,SE
2017-07-08,21163.350672,34193.581763,166722.9568,43597.746314,265677.635549
2017-07-09,21718.717081,33052.95189,164383.585181,43157.116152,262312.370304
2017-07-10,22573.110202,36225.575876,182019.372654,51137.832104,291955.890836
2017-07-11,21075.717045,36461.099286,179103.524434,51017.961602,287658.30236699997
2017-07-12,20430.163694,35963.310509,179205.149068,51191.552442,286790.175713
2017-07-13,20831.957043,38366.28042,179020.769051,51837.504893,290056.511407
2017-07-14,21567.8823,38289.351128,175282.164725,49444.77318,284584.171333
2017-07-15,20750.630596,35137.606041,158506.234132,43205.797391,257600.26816
2017-07-16,20498.967359,34681.549085,157085.556723,43598.516523,255864.58968999996
2017-07-17,21998.579907,35704.751346,167125.883781,48047.446416,272876.66145
2017-07-18,22903.518561,36945.490889,163993.824488,47459.84211,271302.676048
2017-07-19,21923.392927,38163.540237,167850.167968,47459.848823,275396.94995499996
2017-07-20,22233.805974,37165.024529,166393.613172,47100.879524,272893.32319900003
2017-07-21,22896.672831,37021.660625,165331.427549,47288.643942,272538.40494700003
2017-07-22,21771.846984,32827.710644,152723.875664,42545.12386,249868.55715199996
2017-07-23,21463.047653,31759.785125,150583.626031,41826.263578,245632.722387
2017-07-24,22738.605894,35851.856099,165131.799141,46965.74665,270688.007784
2017-07-25,22474.412504,34915.602322,164473.989723,46970.784444,268834.788993
2017-07-26,21031.894431,35712.269895,165476.311793,46772.97386,268993.449979
2017-07-27,20547.074764,35566.909047,163581.678658,46463.163355,266158.82582399994
2017-07-28,21023.913041,35180.530869,162953.137218,45739.752897,264897.334025
2017-07-29,20452.369462,32343.351211,153850.294358,41502.175931,248148.190962
2017-07-30,20139.313496,31016.775861,152602.219856,41716.447477,245474.75669
2017-07-31,21521.146756,33873.784019,166948.241583,47788.132143,270131.30450100004
2017-08-01,21559.930257,34178.203619,164625.725488,48611.064211,268974.923575
2017-08-02,21453.491979,34570.602624,169329.131119,48512.912044,273866.137766
2017-08-03,21987.617154,31958.562161,169264.679176,49808.069558,273018.92804900004
2017-08-04,21611.20782,32842.161627,169342.451668,48216.151455,272011.97257
2017-08-05,19890.840223,32335.554715,156240.464218,43327.111731,251793.97088700003
2017-08-06,21561.194987,30871.134004,158436.624133,43139.604241,254008.557365
2017-08-07,22123.21231,35147.925976,180451.948929,51979.852717,289702.939932
2017-08-08,22840.364152,35732.174148,178381.509956,52706.711248,289660.75950399996
2017-08-09,22300.519056,36450.721545,185045.059017,53371.684336,297167.983954
2017-08-10,22892.591758,39256.97905,186215.669553,53673.215493,302038.455854
2017-08-11,23047.529008,37946.820656,179403.980611,52584.198732,292982.52900700003
2017-08-12,21756.626314,32957.413428,160925.700098,46125.218142,261764.957982
2017-08-13,21632.945452,33004.86239,162985.289654,45601.248319,263224.345815
2017-08-14,22952.265477,38442.933663,192583.947095,55295.172818,309274.319053
2017-08-15,23058.025458,36661.182119,192858.651262,55782.079287,308359.938126
2017-08-16,23303.162374,38894.426664,194024.81732,56028.840501,312251.246859
2017-08-17,23553.204369,38391.23029,194954.553778,56586.599207,313485.587644
2017-08-18,24583.418386,37933.427397,190429.809299,54496.4674,307443.122482
2017-08-19,24213.478794,33705.950327,170057.776945,46533.285916,274510.491982
2017-08-20,23557.305905,34116.305085,172227.490562,47195.909332,277097.010884
2017-08-21,25389.97084,39043.983798,197995.155994,56030.842896,318459.95352800004
2017-08-22,24829.598352,38817.682456,198777.456258,55800.010225,318224.747291
2017-08-23,25363.564477,39276.424787,200837.767643,55449.706709,320927.46361599996
2017-08-24,26693.297866,40313.820611,205007.45267,57266.982648,329281.553795
2017-08-25,26762.485643,39744.464486,203063.648313,54319.642923,323890.24136499997
2017-08-26,25726.788709,36685.567958,180124.34476,46349.277522,288885.978949
2017-08-27,24500.644702,35184.834996,178358.015523,45495.537938,283539.033159
2017-08-28,25907.736494,40229.289199,205942.117103,55470.081406,327549.224202
2017-08-29,24584.53318,39421.992944,196598.684828,54956.58947,315561.800422
2017-08-30,24081.827123,40261.788879,199904.215201,56503.713772,320751.544975
2017-08-31,24129.497178,38533.193039,205350.059794,56622.624968,324635.37497899996
2017-09-01,24157.12457,39561.259458,197673.003869,53862.08959,315253.477487
2017-09-02,23296.622663,36597.506307,179941.76359,47080.775918,286916.668478
2017-09-03,23071.987134,35690.877748,181196.272409,46840.97255,286800.109841
2017-09-04,24894.710237,40145.49168,212667.658071,57196.644669,334904.504657
2017-09-05,24675.174798,41027.15428,208832.645822,57729.586104,332264.561004
2017-09-06,23857.469533,41020.215466,211616.770764,58687.044086,335181.499849
2017-09-07,24071.998224,41832.125083,212578.549682,59921.577583,338404.250572
2017-09-08,25309.431263,40647.075436,208062.49971,58447.148822,332466.15523100004
2017-09-09,24673.722572,38249.032924,188024.751764,49917.319986,300864.827246
2017-09-10,23391.973675,37620.649297,182944.424119,48742.617434,292699.66452500003
2017-09-11,23249.388607,40492.026789,206351.013859,59151.019974,329243.449229
2017-09-12,23832.723751,39690.174746,205967.144703,59199.097509,328689.140709
2017-09-13,23552.44697,40453.143818,207298.273916,60706.914503,332010.779207
2017-09-14,23854.607892,41220.079876,207600.156356,61127.626424,333802.470548
2017-09-15,24661.925026,40706.949911,202005.745757,58673.869123,326048.489817
2017-09-16,23905.760575,39116.34002,184068.264042,50672.749702,297763.11433899996
2017-09-17,23821.602937,37831.487578,182881.72735,51063.086532,295597.904397
2017-09-18,24967.066199,41922.328226,212687.863083,60749.122562,340326.38007
2017-09-19,26649.634988,43554.134728,214230.190674,61529.730102,345963.690492
2017-09-20,26233.516171,44264.772961,221817.778409,60247.626676,352563.694217
2017-09-21,27006.175412,44585.354885,217102.817297,61145.630299,349839.977893
2017-09-22,25735.257312,42953.770104,211547.350091,60636.631242,340873.00874900003
2017-09-23,24071.012348,39092.054084,189186.497908,51493.839747,303843.404087
2017-09-24,23729.447131,36858.738253,183844.120289,49364.881067,293797.18674000003
2017-09-25,25994.617071,40814.723775,206791.500507,58195.003704,331795.84505700006
2017-09-26,25745.856344,41643.261552,207830.392257,57724.982648,332944.492801
2017-09-27,25762.9791,41349.805413,209615.680885,58044.310919,334772.77631700004
2017-09-28,26250.599902,39351.973417,207013.392108,59698.543412,332314.508839
2017-09-29,26046.497671,40664.977882,209191.159452,57887.262494,333789.897499
2017-09-30,24391.32371,36044.772536,192721.712506,51149.601737,304307.41048900003
2017-10-01,24122.064418,35328.080526,193025.323542,50966.807899,303442.276385
2017-10-02,24970.653865,40014.046422,219891.190994,61517.050285,346392.941566
2017-10-03,25541.014305,38766.627181,213835.532389,61593.46144,339736.63531499996
2017-10-04,25440.447831,39506.60061,220845.952336,63567.625192,349360.625969
2017-10-05,25851.734789,40725.152455,227053.023236,64258.411381,357888.32186100003
2017-10-06,25713.928539,41512.427682,225179.264792,61918.430313,354324.051326
2017-10-07,24673.170147,39234.523056,210619.69115,55595.844494,330123.228847
2017-10-08,23766.804775,39474.312571,216826.574743,56442.466149,336510.158238
2017-10-09,25160.717612,44479.935308,236981.864233,65554.238572,372176.755725
2017-10-10,26264.251791,44105.988657,237864.14735,65314.573092,373548.96089
2017-10-11,27354.51703,43904.772212,237273.539858,63922.79169,372455.62079
2017-10-12,27810.219889,44207.503607,230295.78238,64086.227557,366399.733433
2017-10-13,27103.564487,43758.442859,229699.184974,61705.394966,362266.587286
2017-10-14,25069.73291,39425.708074,199258.480893,53069.657393,316823.57927
2017-10-15,24481.413109,39411.106441,198265.115577,52048.226104,314205.861231
2017-10-16,26210.764259,44869.334156,215847.664914,60967.406923,347895.170252
2017-10-17,25438.003622,43899.629822,222871.464703,62086.732322,354295.83046900004
2017-10-18,26702.443049,45296.207034,229590.492697,63084.190053,364673.332833
2017-10-19,27284.875718,46490.478187,244382.768692,66121.434858,384279.557455
2017-10-20,27813.849679,46912.617517,242445.486208,64351.393639,381523.347043
2017-10-21,26955.163018,41603.952543,218012.565475,58164.07773,344735.75876600004
2017-10-22,27275.156538,40856.010735,221932.271319,57418.481701,347481.920293
2017-10-23,28921.768547,47005.811119,250270.67352,67948.621793,394146.8749790001
2017-10-24,28164.836211,47581.75738,252976.845944,70657.477857,399380.917392
2017-10-25,27521.778774,46614.169795,244616.525323,66986.328901,385738.802793
2017-10-26,27535.01594,44710.606137,242302.61383,66077.688117,380625.924024
2017-10-27,26614.880504,44305.76163,244225.820806,66529.645982,381676.108922
2017-10-28,26333.941718,40525.000674,217961.529165,58886.13326,343706.604817
2017-10-29,27972.180586,44539.22276,240112.752858,63198.145696,375822.3019
2017-10-30,30412.803065,48872.814475,267021.297944,74702.208102,421009.123586
2017-10-31,30821.717079,49883.299346,265727.52244,75527.628846,421960.167711
2017-11-01,31801.996436,47397.17129,249592.351459,69033.588536,397825.107721
2017-11-02,30350.840661,47947.514992,243738.344115,67578.005584,389614.705352
2017-11-03,28732.466612,48998.154671,252652.512163,68756.55082,399139.684266
2017-11-04,27042.551928,45318.392144,219276.343733,59440.512288,351077.80009299994
2017-11-05,27464.058959,44337.371681,216487.782642,57926.405106,346215.61838800006
2017-11-06,28586.92046,49210.598938,252880.666866,70373.796365,401051.982629
2017-11-07,28863.848518,50678.643111,267723.638136,75385.867239,422651.997004
2017-11-08,28903.657694,51475.650346,270306.709083,75858.045997,426544.06312
2017-11-09,29232.733124,49290.091068,254936.359404,74537.099451,407996.28304699995
2017-11-10,29174.70996,48642.476628,254822.779089,72442.920952,405082.886629
2017-11-11,29178.065879,47434.193923,237709.294889,66043.959036,380365.513727
2017-11-12,28918.452412,47529.992111,250700.315429,66602.424603,393751.184555
2017-11-13,30066.139591,52454.400237,286186.063614,81296.54733,450003.150772
2017-11-14,29855.462288,53486.820077,290631.028573,82352.703554,456326.014492
2017-11-15,31010.232268,55445.534695,279204.426347,76198.954157,441859.147467
2017-11-16,31579.903338,51601.366145,279067.905633,77251.847965,439501.023081
2017-11-17,33120.090093,50354.230559,260565.500454,73828.537695,417868.358801
2017-11-18,30691.287674,48797.933819,240954.101011,67633.390406,388076.71291
2017-11-19,30617.622635,49178.801496,258544.012839,69352.733948,407693.1709180001
2017-11-20,32301.524016,58083.868338,296420.802775,84720.95179,471527.146919
2017-11-21,31012.978509,59959.71211,300425.642981,87645.981704,479044.3153040001
2017-11-22,31423.954813,57859.354898,301457.723946,83079.643015,473820.676672
2017-11-23,30845.632727,52067.889968,263116.290428,75813.062206,421842.87532899994
2017-11-24,28901.606884,51021.539393,264102.68763,74666.295126,418692.129033
2017-11-25,28001.011845,51357.476721,257788.82781,71466.837138,408614.153514
2017-11-26,28627.910001,47807.578671,256207.629202,70871.710945,403514.828819
2017-11-27,31891.87053,53314.715945,274945.932137,79592.626782,439745.1453940001
2017-11-28,34056.357015,58164.285088,281463.868644,80103.278514,453787.789261
2017-11-29,36065.63083,60083.722317,281686.773229,81028.952247,458865.078623
2017-11-30,35840.322529,58104.587719,285454.908621,84828.88631,464228.705179
2017-12-01,33031.973737,56139.808317,288712.18889,82958.640916,460842.61186
2017-12-02,30947.523961,50776.606234,268434.864145,77317.625678,427476.620018
2017-12-03,29713.964611,48186.664695,250175.512125,73299.092752,401375.23418300005
